Mês,ICF,ICF até 10 SM,ICF + de 10 SM,Emprego Atual,Emprego Atual até 10 SM,Emprego Atual + de 10 SM,Perspectiva Profissional,Perspectiva Profissional até 10 SM,Perspectiva Profissional + de 10 SM,Renda Atual,Renda Atual até 10 SM,Renda Atual + de 10 SM,Acesso a Crédito,Acesso a Crédito até 10 SM,Acesso a Crédito + de 10 SM,Nível de Consumo Atual,Nível de Consumo Atual até 10 SM,Nível de Consumo Atual + de 10 SM,Perspectiva de Consumo,Perspectiva de Consumo até 10 SM,Perspectiva de Consumo + de 10 SM,Momento para Duráveis,Momento para Duráveis até 10 SM,Momento para Duráveis + de 10 SM,load_timestamp
2021-02-01,73.84434424649251,70.85081123862287,82.5133372851215,84.71388836241378,83.35180055401662,88.65836791147994,96.84104787402802,99.14127423822714,90.17980636237897,72.20695336724192,62.991689750692515,98.89349930843707,95.88616290085072,93.46260387811634,102.9045643153527,51.63170980091023,48.254847645429365,61.41078838174274,61.71186742935848,61.911357340720215,61.134163208852,53.91877999064457,46.84210526315789,74.41217150760718,2025-01-21 19:37:26.186649+00:00
2021-03-01,73.00327763944951,69.88439070223457,82.0352839931153,83.13164317986154,81.72719473834715,87.1987951807229,97.34082080447368,97.82670860737775,95.93373493975903,70.62011995318048,62.13897626537031,95.18072289156626,94.82886752901453,93.82327709465255,97.74096385542168,50.49638330719427,46.611381183871885,61.74698795180723,60.200866512024604,58.678867600800686,64.60843373493975,54.404242190397404,48.38432942522162,71.83734939759037,2025-01-21 19:37:26.186649+00:00
2021-04-01,69.94322740205119,65.44591246903384,82.96703296703298,81.97693611544545,78.72832369942196,91.38461538461539,90.302623462253,89.45086705202311,92.76923076923077,68.3735632389959,59.04624277456647,95.38461538461539,92.04548250965374,88.55491329479769,102.15384615384616,49.07507840390143,43.81502890173411,64.3076923076923,56.95371420857994,53.67052023121388,66.46153846153845,50.875193875528915,44.85549132947976,68.3076923076923,2025-01-21 19:37:26.186649+00:00
2021-05-01,67.2583848442076,61.4669805476397,84.029752789324,80.08724350158869,75.80225498699046,92.49617151607963,80.11401664608903,76.84301821335646,89.5865237366003,66.91518926031193,56.548135299219425,96.93721286370598,89.99370092400488,84.79329285920787,105.05359877488515,49.32150980208162,42.873662908355016,67.99387442572741,58.325592776756935,54.98699045967043,67.99387442572741,46.051440998620066,38.42150910667823,68.1470137825421,2025-01-21 19:37:26.186649+00:00
2021-06-01,67.72409786741046,61.05924151036934,87.02490170380078,79.3662095501791,74.08906882591093,94.64831804281346,77.1951466184214,71.16830537883169,94.64831804281346,66.62193064730434,55.465587044534416,98.92966360856269,87.9623010877331,82.59109311740892,103.51681957186545,53.095487515257574,45.98033545401966,73.70030581039755,64.73032305811682,62.31925968768074,71.7125382262997,45.097286594860975,35.80104106419897,72.0183486238532,2025-01-21 19:37:26.186649+00:00
2021-07-01,67.52556492045662,60.35466269841271,88.29183049366536,76.70579727039532,70.45717592592592,94.80122324159021,77.34506541512624,70.63078703703704,96.78899082568807,68.00989998774557,56.857638888888886,100.30581039755351,83.35272114403983,77.60416666666667,100.0,55.02884378166378,47.36689814814815,77.21712538226299,67.79115007121302,63.74421296296296,79.51070336391437,44.44547677301246,35.82175925925927,69.41896024464832,2025-01-21 19:37:26.186649+00:00
2021-08-01,68.97589171555956,62.17757936507936,88.66317169069464,77.2122481690386,70.39930555555556,96.94189602446484,80.84289196163112,76.12847222222221,94.49541284403671,70.16512450743294,61.02430555555556,96.63608562691132,81.864892828281,75.54976851851852,100.15290519877675,56.53064306406834,49.33449074074073,77.37003058103974,73.2296649620136,67.10069444444446,90.97859327217125,42.98577651645126,35.70601851851852,64.06727828746176,2025-01-21 19:37:26.186649+00:00
2021-09-01,71.41859215712462,65.12434933487566,89.64613368283095,81.06786685658106,74.00231347599768,101.52905198776759,86.26728694072008,83.68999421631001,93.7308868501529,70.47448848430156,62.232504337767494,94.34250764525993,84.85569315392917,78.25332562174668,103.97553516819572,56.21513724596528,49.91324465008676,74.46483180428135,78.13153584814856,71.68883747831117,96.78899082568807,42.91813657022661,36.09022556390978,62.69113149847094,2025-01-21 19:37:26.186649+00:00
2021-10-01,71.70229694186513,65.39287779889284,89.97378768020971,83.91737094696599,77.09658762290341,103.6697247706422,87.97583192838516,87.04453441295547,90.67278287461775,70.29406922788039,61.56737998843262,95.56574923547402,84.78734018168217,76.89415847310585,107.64525993883791,53.15067642966375,46.529786003470214,72.32415902140673,77.88385236903545,71.19722382880278,97.24770642201835,43.90693750944298,37.42047426257952,62.69113149847095,2025-01-21 19:37:26.186649+00:00
2021-11-01,70.47055763738491,64.29397669999175,88.35736129314111,82.6126558173266,75.13013302486986,104.28134556574923,86.09278887694401,86.14806246385194,85.93272171253822,68.62960433495373,59.80335454019664,94.18960244648318,81.64160685716693,73.77096587622904,104.434250764526,51.75539068844182,45.28629265471371,70.48929663608563,78.69138982414972,72.75882012724118,95.87155963302752,43.87046706271154,37.16020821283979,63.30275229357798,2025-01-21 19:37:26.186649+00:00
